Category: All categories

Month,Ayman al-Zawahiri: (Worldwide)
2004-01,0
2004-02,6
2004-03,49
2004-04,6
2004-05,7
2004-06,4
2004-07,5
2004-08,5
2004-09,41
2004-10,11
2004-11,11
2004-12,6
2005-01,7
2005-02,7
2005-03,5
2005-04,0
2005-05,4
2005-06,4
2005-07,8
2005-08,23
2005-09,10
2005-10,13
2005-11,7
2005-12,9
2006-01,33
2006-02,7
2006-03,8
2006-04,9
2006-05,5
2006-06,13
2006-07,10
2006-08,7
2006-09,25
2006-10,6
2006-11,4
2006-12,6
2007-01,10
2007-02,7
2007-03,5
2007-04,4
2007-05,8
2007-06,4
2007-07,13
2007-08,3
2007-09,6
2007-10,3
2007-11,4
2007-12,7
2008-01,4
2008-02,3
2008-03,6
2008-04,8
2008-05,4
2008-06,3
2008-07,2
2008-08,10
2008-09,6
2008-10,3
2008-11,12
2008-12,4
2009-01,6
2009-02,4
2009-03,3
2009-04,3
2009-05,2
2009-06,4
2009-07,2
2009-08,3
2009-09,4
2009-10,2
2009-11,3
2009-12,5
2010-01,3
2010-02,3
2010-03,3
2010-04,3
2010-05,3
2010-06,2
2010-07,3
2010-08,2
2010-09,4
2010-10,3
2010-11,3
2010-12,2
2011-01,3
2011-02,4
2011-03,4
2011-04,4
2011-05,63
2011-06,24
2011-07,6
2011-08,6
2011-09,10
2011-10,6
2011-11,5
2011-12,5
2012-01,4
2012-02,6
2012-03,5
2012-04,5
2012-05,8
2012-06,8
2012-07,4
2012-08,4
2012-09,7
2012-10,5
2012-11,4
2012-12,5
2013-01,5
2013-02,4
2013-03,4
2013-04,6
2013-05,4
2013-06,12
2013-07,6
2013-08,12
2013-09,7
2013-10,5
2013-11,6
2013-12,5
2014-01,7
2014-02,6
2014-03,4
2014-04,7
2014-05,7
2014-06,7
2014-07,6
2014-08,7
2014-09,11
2014-10,4
2014-11,3
2014-12,4
2015-01,8
2015-02,5
2015-03,4
2015-04,4
2015-05,4
2015-06,4
2015-07,4
2015-08,4
2015-09,6
2015-10,4
2015-11,7
2015-12,4
2016-01,4
2016-02,2
2016-03,3
2016-04,3
2016-05,4
2016-06,3
2016-07,4
2016-08,3
2016-09,3
2016-10,2
2016-11,3
2016-12,3
2017-01,3
2017-02,3
2017-03,3
2017-04,4
2017-05,3
2017-06,3
2017-07,3
2017-08,2
2017-09,3
2017-10,2
2017-11,2
2017-12,2
2018-01,2
2018-02,2
2018-03,3
2018-04,2
2018-05,2
2018-06,1
2018-07,1
2018-08,2
2018-09,2
2018-10,2
2018-11,1
2018-12,1
2019-01,1
2019-02,2
2019-03,2
2019-04,1
2019-05,2
2019-06,2
2019-07,2
2019-08,2
2019-09,3
2019-10,3
2019-11,2
2019-12,1
2020-01,2
2020-02,2
2020-03,2
2020-04,2
2020-05,3
2020-06,2
2020-07,1
2020-08,1
2020-09,2
2020-10,2
2020-11,5
2020-12,1
2021-01,2
2021-02,1
2021-03,2
2021-04,2
2021-05,2
2021-06,2
2021-07,2
2021-08,5
2021-09,9
2021-10,1
2021-11,1
2021-12,1
2022-01,1
2022-02,2
2022-03,1
2022-04,3
2022-05,2
2022-06,2
2022-07,2
2022-08,100
2022-09,4
2022-10,3
2022-11,2
2022-12,2
2023-01,2
2023-02,2
2023-03,2
2023-04,2
2023-05,2
2023-06,2
2023-07,2
2023-08,2
2023-09,2
2023-10,2
2023-11,2
2023-12,1
2024-01,1
2024-02,2
2024-03,2
2024-04,1
