name,english,gender,industry,cause,age,unexpected,controversial
Matthew Perry,Yes,Male,Cinema,Overdose,50-59,Yes,Yes
Mikhail Gorbachev,No,Male,Public affairs,Illness,90-99,No,Yes
Muhammad Ali,Yes,Male,Sport,Cardiorespiratory,70-79,No,No
Pervez Musharraf,No,Male,Public affairs,Illness,70-79,No,Yes
Pope Benedict XVI,No,Male,Public affairs,Illness,90-99,No,Yes
Prince (musician),Yes,Male,Music,Overdose,50-59,Yes,Yes
Robin Williams,Yes,Male,Cinema,Suicide,60-69,Yes,No
Sean Connery,Yes,Male,Cinema,Cardiorespiratory,90-99,No,No
Silvio Berlusconi,No,Male,Public affairs,Illness,80-89,No,Yes
Stan Lee,Yes,Male,Cinema,Cardiorespiratory,90-99,No,Yes
Stephen Hawking,Yes,Male,Academia,Illness,70-79,No,No
XXXTentacion,Yes,Male,Music,Assassination,20-29,Yes,Yes
