name,nationality,gender,industry,death,age,cause,unexpected,controversial,url
Prince (musician),American,male,music,2016-04-21,57,overdose,1,1,https://en.wikipedia.org/wiki/Prince_(musician)
Kevin Randleman,American,male,sport,2016-02-11,44,illness,1,1,https://en.wikipedia.org/wiki/Kevin_Randleman
Oscar Ray Bolin,American,male,crime,2016-01-16,53,sentenced,0,1,https://en.wikipedia.org/wiki/Oscar_Ray_Bolin
Alan Rickman,British,male,cinema,2016-01-14,69,illness,0,0,https://en.wikipedia.org/wiki/Alan_Rickman
David Bowie,British,male,music,2016-01-10,69,illness,1,1,https://en.wikipedia.org/wiki/David_Bowie
Natalie Cole,American,female,music,2015-12-31,65,illness,0,1,https://en.wikipedia.org/wiki/Natalie_Cole
Lemmy,American,male,music,2015-12-28,70,illness,1,1,https://en.wikipedia.org/wiki/Lemmy
Alfredo Prieto,American,male,crime,2015-10-01,49,sentenced,0,1,https://en.wikipedia.org/wiki/Alfredo_Prieto
Tariq Aziz,Iraqi,male,politics,2015-06-05,79,illness,0,1,https://en.wikipedia.org/wiki/Tariq_Aziz
Malcolm Fraser,Australian,male,politics,2015-03-20,84,illness,0,1,https://en.wikipedia.org/wiki/Malcolm_Fraser
Florence Arthaud,French,female,sport,2015-03-09,57,accident,1,0,https://en.wikipedia.org/wiki/Florence_Arthaud
Camille Muffat,French,female,sport,2015-03-09,25,accident,1,0,https://en.wikipedia.org/wiki/Camille_Muffat
Alexis Vastine,French,male,sport,2015-03-09,28,accident,1,0,https://en.wikipedia.org/wiki/Alexis_Vastine
Leonard Nimoy,American,male,cinema,2015-02-27,83,illness,0,0,https://en.wikipedia.org/wiki/Leonard_Nimoy
Marcia Strassman,American,female,cinema,2014-10-24,66,illness,0,0,https://en.wikipedia.org/wiki/Marcia_Strassman
Joan Rivers,American,female,cinema,2014-09-04,81,accident,1,1,https://en.wikipedia.org/wiki/Joan_Rivers
Robin Williams,American,male,cinema,2014-08-11,63,suicide,1,0,https://en.wikipedia.org/wiki/Robin_Williams
Chester Bennington,American,male,music,2017-07-20,41,suicide,1,0,https://en.wikipedia.org/wiki/Chester_Bennington
Nadine Gordimer,South African,female,academia,2014-07-13,90,natural,0,1,https://en.wikipedia.org/wiki/Nadine_Gordimer
Toni Morrison,American,female,academia,2019-08-05,88,pneumonia,0,1,https://en.wikipedia.org/wiki/Toni_Morrison
Betty Williams,Northern Irish,female,academia,2020-03-17,76,pneumonia,0,0,https://en.wikipedia.org/wiki/Betty_Williams
Ahmed Zewail,"Egyptian, American",male,academia,2016-08-02,70,undisclosed,0,1,https://en.wikipedia.org/wiki/Ahmed_Zewail
John Forbes Nash Jr.,American,male,academia,2015-05-23,86,accident,1,1,https://en.wikipedia.org/wiki/John_Forbes_Nash_Jr.
Elie Wiesel,"Romanian, American",male,academia,2016-07-02,87,illness,0,1,https://en.wikipedia.org/wiki/Elie_Wiesel
Simone Veil,French,female,politics,2017-06-30,89,undisclosed,0,1,https://en.wikipedia.org/wiki/Simone_Veil
